customer_id,company_name,country,industry,employee_size_band,signup_date,signup_quarter
1,"Rodriguez, Figueroa and Sanchez",United Kingdom,Management Consulting,1-10,2024-11-08,2024Q4
2,Doyle Ltd,Germany,Digital Agency,11-50,2024-02-03,2024Q1
3,"Mcclain, Miller and Henderson",United States,Design Studio,1-10,2024-10-17,2024Q4
4,Davis and Sons,United Kingdom,PR Agency,11-50,2025-10-18,2025Q4
5,"Guzman, Hoffman and Baldwin",United Kingdom,Dev Shop / Software Consulting,1-10,2026-02-01,2026Q1
6,"Gardner, Robinson and Lawrence",United States,Management Consulting,1-10,2025-10-05,2025Q4
7,Blake and Sons,Germany,Branding Agency,1-10,2025-07-04,2025Q3
8,"Henderson, Ramirez and Lewis",United States,Marketing Agency,1-10,2026-04-24,2026Q2
9,Garcia-James,United States,Marketing Agency,51+,2024-11-18,2024Q4
10,Abbott-Munoz,United Kingdom,Management Consulting,51+,2026-06-19,2026Q2
11,Blair PLC,United States,Dev Shop / Software Consulting,11-50,2026-01-10,2026Q1
12,Dudley Group,Portugal,Branding Agency,51+,2026-06-09,2026Q2
13,Arnold Ltd,Germany,Management Consulting,1-10,2025-06-07,2025Q2
14,"Mcclure, Ward and Lee",Germany,Marketing Agency,11-50,2024-10-20,2024Q4
15,Williams and Sons,United Kingdom,Branding Agency,1-10,2025-05-13,2025Q2
16,Galloway-Wyatt,Portugal,Design Studio,11-50,2026-02-22,2026Q1
17,James Group,Germany,Dev Shop / Software Consulting,1-10,2025-11-02,2025Q4
18,"Flowers, Martin and Kelly",United Kingdom,Digital Agency,1-10,2026-06-23,2026Q2
19,"Adams, Zuniga and Wong",Germany,PR Agency,1-10,2026-03-15,2026Q1
20,"Reid, Ferguson and Sanchez",United States,Digital Agency,11-50,2026-04-09,2026Q2
21,Gray-Mayo,United Kingdom,Management Consulting,11-50,2025-02-08,2025Q1
22,"Watts, Robinson and Nguyen",United States,Dev Shop / Software Consulting,1-10,2026-02-02,2026Q1
23,Perez Inc,United States,PR Agency,1-10,2025-11-14,2025Q4
24,Morales-Jones,United States,Branding Agency,11-50,2026-03-17,2026Q1
25,"Walter, Edwards and Rios",United Kingdom,PR Agency,51+,2025-12-24,2025Q4
26,Wilkerson-Day,Portugal,Dev Shop / Software Consulting,11-50,2023-09-21,2023Q3
27,Baker and Sons,United States,Marketing Agency,1-10,2026-02-24,2026Q1
