event_id,customer_id,event_date,event_type
1,1,2024-11-07,invoice_sent
2,1,2024-11-07,login
3,1,2024-11-27,team_member_invited
4,1,2024-11-12,task_assigned
5,1,2024-11-25,time_logged
6,1,2024-11-04,time_logged
7,1,2024-11-22,login
8,1,2024-11-16,task_assigned
9,1,2024-11-01,report_exported
10,1,2024-11-02,report_exported
11,1,2024-11-12,project_created
12,1,2024-11-11,report_exported
13,1,2024-11-19,project_created
14,1,2024-11-16,project_created
15,1,2024-11-25,team_member_invited
16,1,2024-11-09,task_assigned
17,1,2024-11-08,invoice_sent
18,1,2024-11-05,report_exported
19,1,2024-12-17,time_logged
20,1,2024-12-16,invoice_sent
21,1,2024-12-02,task_assigned
22,1,2024-12-12,task_assigned
23,1,2024-12-28,invoice_sent
24,1,2024-12-25,report_exported
25,1,2024-12-15,login
26,1,2024-12-23,time_logged
27,1,2024-12-15,report_exported
28,1,2024-12-23,project_created
29,1,2025-01-01,login
30,1,2025-01-07,task_assigned
31,1,2025-01-19,project_created
32,1,2025-01-11,time_logged
33,1,2025-01-20,project_created
34,1,2025-01-06,invoice_sent
35,1,2025-01-09,task_assigned
36,1,2025-01-09,login
37,1,2025-01-20,project_created
38,1,2025-01-12,invoice_sent
39,1,2025-01-16,time_logged
40,1,2025-01-07,invoice_sent
41,1,2025-01-23,project_created
42,1,2025-02-12,project_created
43,1,2025-02-09,project_created
44,1,2025-02-06,invoice_sent
45,1,2025-02-05,report_exported
46,1,2025-02-22,task_assigned
47,1,2025-02-27,login
48,1,2025-02-24,time_logged
49,1,2025-02-26,project_created
50,1,2025-02-18,login
51,1,2025-02-28,invoice_sent
52,1,2025-02-07,project_created
53,1,2025-02-26,time_logged
54,1,2025-02-05,report_exported
55,1,2025-02-26,project_created
56,1,2025-02-06,login
57,1,2025-02-16,project_created
58,1,2025-03-28,login
59,1,2025-03-17,report_exported
60,1,2025-03-24,task_assigned
61,1,2025-03-26,project_created
62,1,2025-03-10,invoice_sent
63,1,2025-03-18,invoice_sent
64,1,2025-03-02,report_exported
65,1,2025-03-04,invoice_sent
66,1,2025-03-06,task_assigned
67,1,2025-03-07,login
68,1,2025-03-16,invoice_sent
69,1,2025-03-04,report_exported
70,1,2025-03-24,invoice_sent
71,1,2025-03-09,project_created
72,1,2025-03-12,invoice_sent
73,1,2025-03-18,report_exported
74,1,2025-03-12,invoice_sent
75,1,2025-03-14,login
76,1,2025-03-12,login
77,1,2025-03-20,task_assigned
78,1,2025-03-19,login
79,1,2025-04-21,task_assigned
80,1,2025-04-18,task_assigned
81,1,2025-04-25,time_logged
82,1,2025-04-12,project_created
83,1,2025-04-22,invoice_sent
84,1,2025-04-16,task_assigned
85,1,2025-04-15,task_assigned
86,1,2025-04-13,time_logged
87,1,2025-04-10,task_assigned
88,1,2025-04-21,project_created
89,1,2025-04-28,login
90,1,2025-04-21,time_logged
91,1,2025-04-14,project_created
92,1,2025-04-20,report_exported
93,1,2025-04-13,task_assigned
94,1,2025-04-03,time_logged
95,1,2025-04-11,login
96,1,2025-04-11,login
97,1,2025-04-21,invoice_sent
98,1,2025-04-23,project_created
99,1,2025-05-20,invoice_sent
100,1,2025-05-13,report_exported
101,1,2025-05-15,project_created
102,1,2025-05-24,invoice_sent
102,1,2025-05-24,unknown
