month,total_mrr,n_customers
2023-07-01,3689,11
2023-08-01,6429,21
2023-09-01,7871,29
2023-10-01,13256,44
2023-11-01,15148,52
2023-12-01,19881,69
2024-01-01,21574,76
2024-02-01,28502,97
2024-03-01,34386,113
2024-04-01,38363,137
2024-05-01,47795,152
2024-06-01,52724,173
2024-07-01,56909,190
2024-08-01,61590,209
2024-09-01,71056,241
2024-10-01,76086,264
2024-11-01,82806,291
2024-12-01,88990,307
2025-01-01,95618,330
2025-02-01,101505,343
2025-03-01,107781,364
2025-04-01,113377,370
2025-05-01,122653,395
2025-06-01,131182,415
2025-07-01,139001,445
2025-08-01,145136,462
2025-09-01,152257,487
2025-10-01,159886,510
2025-11-01,164815,530
2025-12-01,171507,538
2026-01-01,184120,575
2026-02-01,188461,587
2026-03-01,194134,609
2026-04-01,201105,638
2026-05-01,206340,656
2026-06-01,222317,676
