payment_id,subscription_id,customer_id,payment_date,amount,status
1,1,1,2024-11-11,49,succeeded
2,1,1,2024-12-12,49,succeeded
3,1,1,2025-01-08,49,succeeded
4,1,1,2025-02-10,49,succeeded
5,1,1,2025-03-11,49,failed
6,1,1,2025-03-13,49,succeeded
7,1,1,2025-04-12,49,succeeded
8,2,2,2024-02-07,199,succeeded
9,2,2,2024-03-05,199,failed
10,2,2,2024-03-10,199,succeeded
11,2,2,2024-04-06,199,succeeded
12,2,2,2024-05-06,199,succeeded
13,2,2,2024-06-06,199,succeeded
14,2,2,2024-07-07,199,succeeded
15,2,2,2024-08-07,199,succeeded
16,2,2,2024-09-04,199,succeeded
17,2,2,2024-10-04,199,succeeded
18,2,2,2024-11-04,199,succeeded
19,2,2,2024-12-04,199,succeeded
20,2,2,2025-01-06,199,succeeded
21,2,2,2025-02-03,199,succeeded
22,2,2,2025-03-03,199,succeeded
23,2,2,2025-04-06,199,succeeded
24,2,2,2025-05-05,199,succeeded
25,2,2,2025-06-06,199,succeeded
26,2,2,2025-07-03,199,succeeded
27,2,2,2025-08-04,199,succeeded
28,2,2,2025-09-06,199,succeeded
29,2,2,2025-10-06,199,succeeded
30,2,2,2025-11-07,199,succeeded
31,2,2,2025-12-04,199,succeeded
32,2,2,2026-01-04,199,succeeded
33,2,2,2026-02-07,199,succeeded
34,2,2,2026-03-07,199,succeeded
35,2,2,2026-04-05,199,succeeded
36,2,2,2026-05-06,199,succeeded
37,2,2,2026-06-06,199,succeeded
38,3,3,2024-10-21,49,succeeded
39,3,3,2024-11-17,49,succeeded
40,3,3,2024-12-19,49,succeeded
41,3,3,2025-01-19,49,succeeded
42,3,3,2025-02-18,49,succeeded
43,3,3,2025-03-21,49,succeeded
44,3,3,2025-04-18,49,succeeded
45,4,4,2025-10-19,199,succeeded
46,4,4,2025-11-20,199,succeeded
47,4,4,2025-12-21,199,succeeded
48,4,4,2026-01-18,199,succeeded
49,4,4,2026-02-22,199,succeeded
50,4,4,2026-03-21,199,succeeded
51,4,4,2026-04-22,199,succeeded
52,4,4,2026-05-22,199,succeeded
53,4,4,2026-06-21,199,succeeded
54,5,5,2026-02-05,199,succeeded
55,5,5,2026-03-03,199,succeeded
56,5,5,2026-04-01,199,succeeded
57,5,5,2026-05-02,199,succeeded
58,5,5,2026-06-05,199,succeeded
59,6,6,2025-10-08,49,succeeded
60,6,6,2025-11-08,49,succeeded
61,6,6,2025-12-05,49,succeeded
62,6,6,2026-01-09,49,succeeded
63,6,6,2026-02-06,49,succeeded
64,6,6,2026-03-05,49,succeeded
65,6,6,2026-04-08,49,succeeded
66,6,6,2026-05-08,49,succeeded
67,6,6,2026-06-05,49,succeeded
68,8,8,2026-04-26,49,succeeded
69,8,8,2026-05-28,49,succeeded
70,8,8,2026-06-27,49,succeeded
71,9,9,2024-11-20,199,succeeded
72,9,9,2024-12-18,199,succeeded
73,9,9,2025-01-21,199,succeeded
74,9,9,2025-02-22,199,succeeded
75,10,10,2026-06-19,199,succeeded
76,11,11,2026-01-12,799,succeeded
77,11,11,2026-02-14,799,succeeded
78,11,11,2026-03-10,799,succeeded
79,11,11,2026-04-13,799,failed
80,11,11,2026-04-18,799,succeeded
81,11,11,2026-05-12,799,succeeded
82,11,11,2026-06-11,799,succeeded
83,12,12,2026-06-13,799,succeeded
84,13,13,2025-06-10,49,succeeded
85,13,13,2025-07-07,49,succeeded
86,13,13,2025-08-09,49,succeeded
87,13,13,2025-09-07,49,succeeded
88,13,13,2025-10-09,49,succeeded
89,13,13,2025-11-11,49,failed
90,13,13,2025-12-07,49,succeeded
91,13,13,2026-01-09,49,succeeded
92,13,13,2026-02-09,49,succeeded
93,13,13,2026-03-09,49,succeeded
94,13,13,2026-04-11,49,succeeded
95,13,13,2026-05-07,49,succeeded
96,13,13,2026-06-09,49,succeeded
97,14,14,2024-10-24,199,succeeded
98,14,14,2024-11-24,199,failed
99,14,14,2024-11-27,199,succeeded
100,14,14,2024-12-23,199,succeeded
101,14,14,2025-01-23,199,succeeded
102,14,14,2025-02-23,199,succeeded
103,14,14,2025-03-20,199,succeeded
104,14,14,2025-04-22,199,succeeded
105,15,14,2025-05-04,799,succeeded
106,15,14,2025-06-04,799,succeeded
107,15,14,2025-07-03,799,succeeded
108,15,14,2025-08-04,799,succeeded
109,15,14,2025-09-05,799,failed
110,15,14,2025-09-09,799,succeeded
111,15,14,2025-10-03,799,succeeded
112,15,14,2025-11-02,799,succeeded
113,15,14,2025-12-01,799,succeeded
114,15,14,2026-01-05,799,succeeded
115,15,14,2026-02-04,799,succeeded
116,15,14,2026-03-05,799,succeeded
117,15,14,2026-04-05,799,succeeded
118,15,14,2026-05-02,799,succeeded
119,15,14,2026-06-03,799,succeeded
120,16,15,2025-05-17,49,succeeded
121,16,15,2025-06-13,49,succeeded
122,16,15,2025-07-13,49,succeeded
123,16,15,2025-08-14,49,succeeded
124,16,15,2025-09-17,49,succeeded
125,16,15,2025-10-17,49,succeeded
126,16,15,2025-11-14,49,succeeded
127,17,16,2026-02-26,199,succeeded
128,17,16,2026-03-23,199,succeeded
129,17,16,2026-04-26,199,succeeded
130,17,16,2026-05-22,199,succeeded
131,17,16,2026-06-23,199,succeeded
132,18,17,2025-11-02,199,succeeded
133,18,17,2025-12-04,199,succeeded
134,18,17,2026-01-02,199,succeeded
135,18,17,2026-02-03,199,succeeded
136,18,17,2026-03-02,199,succeeded
137,18,17,2026-04-05,199,failed
138,18,17,2026-04-10,199,succeeded
139,18,17,2026-05-04,199,succeeded
140,18,17,2026-06-02,199,succeeded
141,19,18,2026-06-26,49,succeeded
142,20,19,2026-03-19,49,succeeded
143,20,19,2026-04-18,49,succeeded
144,21,20,2026-04-10,199,succeeded
145,21,20,2026-05-11,199,succeeded
146,21,20,2026-06-10,199,succeeded
147,22,21,2025-02-09,799,succeeded
148,22,21,2025-03-12,799,succeeded
149,22,21,2025-04-10,799,succeeded
150,22,21,2025-05-10,799,succeeded
151,22,21,2025-06-09,799,succeeded
152,22,21,2025-07-09,799,succeeded
153,22,21,2025-08-09,799,succeeded
154,22,21,2025-09-08,799,failed
155,22,21,2025-10-09,799,succeeded
156,22,21,2025-11-09,799,succeeded
157,22,21,2025-12-09,799,succeeded
158,22,21,2026-01-11,799,succeeded
159,22,21,2026-02-12,799,succeeded
160,22,21,2026-03-08,799,succeeded
161,22,21,2026-04-09,799,succeeded
162,22,21,2026-05-10,799,succeeded
163,22,21,2026-06-12,799,succeeded
164,23,22,2026-02-05,199,succeeded
165,23,22,2026-03-05,199,succeeded
166,23,22,2026-04-05,199,succeeded
167,23,22,2026-05-05,199,succeeded
168,23,22,2026-06-03,199,succeeded
169,25,24,2026-03-17,199,succeeded
170,25,24,2026-04-18,199,succeeded
171,25,24,2026-05-18,199,succeeded
172,26,25,2025-12-27,199,succeeded
173,26,25,2026-01-25,199,succeeded
174,26,25,2026-02-27,199,succeeded
175,26,25,2026-03-27,199,succeeded
176,26,25,2026-04-27,199,succeeded
177,26,25,2026-05-24,199,succeeded
178,26,25,2026-06-26,199,succeeded
179,27,26,2023-09-24,199,succeeded
180,27,26,2023-10-24,199,succeeded
181,27,26,2023-11-24,199,succeeded
182,27,26,2023-12-22,199,succeeded
183,27,26,2024-01-25,199,succeeded
184,27,26,2024-02-23,199,failed
185,27,26,2024-02-29,199,succeeded
186,27,26,2024-03-25,199,succeeded
187,27,26,2024-04-22,199,succeeded
188,27,26,2024-05-22,199,succeeded
189,27,26,2024-06-22,199,succeeded
190,27,26,2024-07-25,199,succeeded
191,27,26,2024-08-24,199,succeeded
192,27,26,2024-09-22,199,succeeded
193,27,26,2024-10-22,199,succeeded
194,27,26,2024-11-22,199,succeeded
195,27,26,2024-12-21,199,succeeded
196,27,26,2025-01-25,199,succeeded
197,27,26,2025-02-21,199,succeeded
198,27,26,2025-03-21,199,succeeded
199,27,26,2025-04-21,199,succeeded
200,27,26,2025-05-23,199,succeeded
201,27,26,2025-06-22,199,succeeded
202,27,26,2025-07-22,199,succeeded
203,27,26,2025-08-24,199,succeeded
204,27,26,2025-09-22,199,succeeded
205,27,26,2025-10-22,199,succeeded
206,27,26,2025-11-23,199,succeeded
207,27,26,2025-12-22,199,failed
208,27,26,2026-01-23,199,succeeded
209,27,26,2026-02-25,199,failed
210,27,26,2026-02-28,199,succeeded
211,27,26,2026-03-21,199,succeeded
212,28,26,2026-04-04,799,succeeded
213,28,26,2026-05-01,799,succeeded
214,28,26,2026-06-04,799,succeeded
215,29,27,2026-02-27,199,succeeded
216,29,27,2026-03-28,199,succeeded
217,29,27,2026-04-28,199,succeeded
218,29,27,2026-05-26,199,succeeded
219,29,27,2026-06-28,199,succeeded
220,30,28,2025-01-17,799,succeeded
221,30,28,2025-02-18,799,succeeded
222,31,29,2024-11-21,49,succeeded
223,31,29,2024-12-18,49,succeeded
224,31,29,2025-01-17,49,succeeded
225,31,29,2025-02-21,49,succeeded
226,31,29,2025-03-21,49,succeeded
227,31,29,2025-04-21,49,succeeded
228,31,29,2025-05-19,49,succeeded
229,31,29,2025-06-19,49,succeeded
230,31,29,2025-07-18,49,succeeded
231,31,29,2025-08-20,49,succeeded
232,31,29,2025-09-19,49,succeeded
233,31,29,2025-10-19,49,succeeded
234,31,29,2025-11-19,49,succeeded
235,31,29,2025-12-17,49,succeeded
236,31,29,2026-01-21,49,succeeded
237,31,29,2026-02-19,49,succeeded
238,31,29,2026-03-17,49,succeeded
239,31,29,2026-04-19,49,succeeded
240,31,29,2026-05-19,49,succeeded
241,32,30,2025-04-25,799,succeeded
242,32,30,2025-05-25,799,succeeded
243,32,30,2025-06-27,799,succeeded
244,32,30,2025-07-25,799,succeeded
245,32,30,2025-08-27,799,succeeded
246,32,30,2025-09-27,799,succeeded
247,32,30,2025-10-26,799,succeeded
248,32,30,2025-11-28,799,succeeded
249,32,30,2025-12-26,799,succeeded
250,32,30,2026-01-25,799,succeeded
251,32,30,2026-02-27,799,succeeded
