subscription_id,customer_id,plan_id,start_date,end_date,status,mrr_amount,end_date_filled,duration_days,plan_name,tier
1,1,1,2024-11-08,2025-05-01,churned,49,2025-05-01,174,Starter,1
2,2,2,2024-02-03,,active,199,2026-06-30,878,Pro,2
3,3,1,2024-10-17,2025-05-01,churned,49,2025-05-01,196,Starter,1
4,4,2,2025-10-18,,active,199,2026-06-30,255,Pro,2
5,5,2,2026-02-01,,active,199,2026-06-30,149,Pro,2
6,6,1,2025-10-05,,active,49,2026-06-30,268,Starter,1
7,7,1,2025-07-04,2025-07-01,churned,49,2025-07-01,0,Starter,1
8,8,1,2026-04-24,,active,49,2026-06-30,67,Starter,1
9,9,2,2024-11-18,2025-03-01,churned,199,2025-03-01,103,Pro,2
10,10,2,2026-06-19,,active,199,2026-06-30,11,Pro,2
11,11,3,2026-01-10,,active,799,2026-06-30,171,Enterprise,3
12,12,3,2026-06-09,,active,799,2026-06-30,21,Enterprise,3
13,13,1,2025-06-07,,active,49,2026-06-30,388,Starter,1
14,14,2,2024-10-20,2025-05-01,upgraded,199,2025-05-01,193,Pro,2
15,14,3,2025-05-01,,active,799,2026-06-30,425,Enterprise,3
16,15,1,2025-05-13,2025-12-01,churned,49,2025-12-01,202,Starter,1
17,16,2,2026-02-22,,active,199,2026-06-30,128,Pro,2
18,17,2,2025-11-02,,active,199,2026-06-30,240,Pro,2
19,18,1,2026-06-23,,active,49,2026-06-30,7,Starter,1
20,19,1,2026-03-15,2026-05-01,churned,49,2026-05-01,47,Starter,1
21,20,2,2026-04-09,,active,199,2026-06-30,82,Pro,2
22,21,3,2025-02-08,,active,799,2026-06-30,507,Enterprise,3
23,22,2,2026-02-02,,active,199,2026-06-30,148,Pro,2
24,23,1,2025-11-14,2025-11-01,churned,49,2025-11-01,0,Starter,1
25,24,2,2026-03-17,2026-06-01,churned,199,2026-06-01,76,Pro,2
26,25,2,2025-12-24,,active,199,2026-06-30,188,Pro,2
27,26,2,2023-09-21,2026-04-01,upgraded,199,2026-04-01,923,Pro,2
28,26,3,2026-04-01,,active,799,2026-06-30,90,Enterprise,3
29,27,2,2026-02-24,,active,199,2026-06-30,126,Pro,2
30,28,3,2025-01-17,2025-03-01,churned,799,2025-03-01,43,Enterprise,3
31,29,1,2024-11-17,2026-06-01,churned,49,2026-06-01,561,Starter,1
32,30,3,2025-04-25,,active,799,2026-06-30,431,Enterprise,3
33,31,1,2024-11-01,2025-04-01,churned,49,2025-04-01,151,Starter,1
34,32,2,2025-07-10,,active,199,2026-06-30,355,Pro,2
35,33,2,2025-09-03,,active,199,2026-06-30,300,Pro,2
36,34,2,2024-12-25,,active,199,2026-06-30,552,Pro,2
37,35,3,2025-08-09,,active,799,2026-06-30,325,Enterprise,3
38,36,3,2024-07-25,,active,799,2026-06-30,705,Enterprise,3
39,37,1,2024-01-21,2025-02-01,churned,49,2025-02-01,377,Starter,1
40,38,1,2024-07-08,2024-12-01,churned,49,2024-12-01,146,Starter,1
41,39,1,2026-03-08,2026-05-01,churned,49,2026-05-01,54,Starter,1
42,40,2,2026-01-02,,active,199,2026-06-30,179,Pro,2
43,41,1,2026-01-16,2026-04-01,churned,49,2026-04-01,75,Starter,1
44,42,3,2025-06-19,,active,799,2026-06-30,376,Enterprise,3
45,43,1,2024-02-04,2024-02-01,churned,49,2024-02-01,0,Starter,1
46,44,1,2026-01-28,,active,49,2026-06-30,153,Starter,1
47,45,3,2024-05-02,2026-03-01,downgraded,799,2026-03-01,668,Enterprise,3
48,45,2,2026-03-01,2026-06-01,downgraded,199,2026-06-01,92,Pro,2
49,45,1,2026-06-01,,active,49,2026-06-30,29,Starter,1
50,46,2,2023-12-07,2024-06-01,churned,199,2024-06-01,177,Pro,2
51,47,1,2023-08-15,2023-12-01,churned,49,2023-12-01,108,Starter,1
52,48,1,2025-04-28,2025-05-01,churned,49,2025-05-01,3,Starter,1
53,49,3,2023-12-01,,active,799,2026-06-30,942,Enterprise,3
54,50,2,2024-03-14,,active,199,2026-06-30,838,Pro,2
55,51,1,2026-04-06,,active,49,2026-06-30,85,Starter,1
56,52,1,2026-03-26,,active,49,2026-06-30,96,Starter,1
57,53,3,2025-08-18,,active,799,2026-06-30,316,Enterprise,3
58,54,1,2026-01-02,,active,49,2026-06-30,179,Starter,1
59,55,2,2024-09-02,2026-01-01,downgraded,199,2026-01-01,486,Pro,2
60,55,1,2026-01-01,2026-02-01,churned,49,2026-02-01,31,Starter,1
61,56,3,2026-01-02,,active,799,2026-06-30,179,Enterprise,3
62,57,1,2026-04-03,,active,49,2026-06-30,88,Starter,1
63,58,1,2025-05-08,2026-01-01,churned,49,2026-01-01,238,Starter,1
64,59,1,2023-10-19,2024-05-01,upgraded,49,2024-05-01,195,Starter,1
65,59,2,2024-05-01,2025-11-01,churned,199,2025-11-01,549,Pro,2
66,60,1,2023-09-23,2024-02-01,upgraded,49,2024-02-01,131,Starter,1
67,60,2,2024-02-01,2026-03-01,upgraded,199,2026-03-01,759,Pro,2
68,60,3,2026-03-01,,active,799,2026-06-30,121,Enterprise,3
69,61,1,2025-08-10,,active,49,2026-06-30,324,Starter,1
70,62,3,2025-10-15,,active,799,2026-06-30,258,Enterprise,3
71,63,1,2026-01-07,2026-05-01,churned,49,2026-05-01,114,Starter,1
72,64,1,2025-03-08,,active,49,2026-06-30,479,Starter,1
73,65,2,2025-08-10,,active,199,2026-06-30,324,Pro,2
74,66,3,2024-01-22,,active,799,2026-06-30,890,Enterprise,3
75,67,1,2025-04-09,2025-07-01,churned,49,2025-07-01,83,Starter,1
76,68,2,2025-05-10,2025-09-01,downgraded,199,2025-09-01,114,Pro,2
77,68,1,2025-09-01,2026-02-01,churned,49,2026-02-01,153,Starter,1
78,69,1,2026-03-28,,active,49,2026-06-30,94,Starter,1
79,70,2,2025-07-02,,active,199,2026-06-30,363,Pro,2
80,71,2,2026-04-11,,active,199,2026-06-30,80,Pro,2
81,72,1,2025-10-15,,active,49,2026-06-30,258,Starter,1
82,73,2,2026-04-23,,active,199,2026-06-30,68,Pro,2
83,74,1,2024-05-18,2025-06-01,upgraded,49,2025-06-01,379,Starter,1
84,74,2,2025-06-01,2025-07-01,churned,199,2025-07-01,30,Pro,2
85,75,1,2024-09-28,2025-01-01,churned,49,2025-01-01,95,Starter,1
86,76,2,2025-07-04,,active,199,2026-06-30,361,Pro,2
87,77,2,2025-01-24,2025-03-01,churned,199,2025-03-01,36,Pro,2
88,78,2,2026-05-26,,active,199,2026-06-30,35,Pro,2
89,79,2,2024-12-26,,active,199,2026-06-30,551,Pro,2
90,80,2,2024-07-08,2024-11-01,churned,199,2024-11-01,116,Pro,2
91,81,2,2024-11-02,2025-10-01,churned,199,2025-10-01,333,Pro,2
92,82,2,2025-03-12,,active,199,2026-06-30,475,Pro,2
93,83,1,2026-06-22,2026-06-01,churned,49,2026-06-01,0,Starter,1
94,84,3,2024-02-09,,active,799,2026-06-30,872,Enterprise,3
95,85,2,2023-11-18,2023-12-01,churned,199,2023-12-01,13,Pro,2
96,86,3,2024-09-06,,active,799,2026-06-30,662,Enterprise,3
97,87,1,2025-12-14,,active,49,2026-06-30,198,Starter,1
98,88,1,2025-03-04,,active,49,2026-06-30,483,Starter,1
99,89,1,2025-07-14,,active,49,2026-06-30,351,Starter,1
100,90,2,2025-07-24,,active,199,2026-06-30,341,Pro,2
101,91,1,2025-01-11,2025-03-01,churned,49,2025-03-01,49,Starter,1
102,92,1,2024-10-17,2025-11-01,churned,49,2025-11-01,380,Starter,1
103,93,1,2026-03-18,,active,49,2026-06-30,104,Starter,1
104,94,3,2023-10-24,,active,799,2026-06-30,980,Enterprise,3
105,95,1,2025-01-27,2025-05-01,churned,49,2025-05-01,94,Starter,1
106,96,1,2025-07-20,2026-04-01,upgraded,49,2026-04-01,255,Starter,1
107,96,2,2026-04-01,,active,199,2026-06-30,90,Pro,2
108,97,1,2026-01-17,2026-06-01,churned,49,2026-06-01,135,Starter,1
109,98,1,2024-12-22,2025-06-01,churned,49,2025-06-01,161,Starter,1
110,99,3,2024-09-03,,active,799,2026-06-30,665,Enterprise,3
111,100,2,2025-12-26,,active,199,2026-06-30,186,Pro,2
112,101,2,2025-03-20,,active,199,2026-06-30,467,Pro,2
113,102,1,2025-06-19,2025-10-01,churned,49,2025-10-01,104,Starter,1
114,103,1,2023-08-05,2026-05-01,churned,49,2026-05-01,1000,Starter,1
115,104,2,2026-02-04,,active,199,2026-06-30,146,Pro,2
116,105,2,2026-05-17,,active,199,2026-06-30,44,Pro,2
117,106,2,2026-05-15,,active,199,2026-06-30,46,Pro,2
118,107,2,2025-12-20,,active,199,2026-06-30,192,Pro,2
119,108,2,2025-09-24,2025-11-01,upgraded,199,2025-11-01,38,Pro,2
120,108,3,2025-11-01,,active,799,2026-06-30,241,Enterprise,3
121,109,3,2025-05-06,2025-07-01,downgraded,799,2025-07-01,56,Enterprise,3
122,109,2,2025-07-01,2026-02-01,churned,199,2026-02-01,215,Pro,2
123,110,1,2024-09-27,2025-03-01,upgraded,49,2025-03-01,155,Starter,1
124,110,2,2025-03-01,2025-04-01,upgraded,199,2025-04-01,31,Pro,2
125,110,3,2025-04-01,,active,799,2026-06-30,455,Enterprise,3
126,111,2,2024-06-08,2026-03-01,downgraded,199,2026-03-01,631,Pro,2
127,111,1,2026-03-01,,active,49,2026-06-30,121,Starter,1
128,112,1,2025-09-11,2026-03-01,churned,49,2026-03-01,171,Starter,1
129,113,1,2026-03-13,,active,49,2026-06-30,109,Starter,1
130,114,1,2025-02-11,2025-04-01,churned,49,2025-04-01,49,Starter,1
131,115,2,2026-01-13,,active,199,2026-06-30,168,Pro,2
132,116,2,2023-11-25,2025-02-01,churned,199,2025-02-01,434,Pro,2
133,117,3,2026-06-25,,active,799,2026-06-30,5,Enterprise,3
134,118,2,2024-12-24,,active,199,2026-06-30,553,Pro,2
135,119,2,2026-05-08,2026-06-01,churned,199,2026-06-01,24,Pro,2
136,120,2,2025-12-22,,active,199,2026-06-30,190,Pro,2
137,121,2,2023-09-20,2025-03-01,churned,199,2025-03-01,528,Pro,2
138,122,1,2024-05-01,,active,49,2026-06-30,790,Starter,1
139,123,2,2026-04-02,,active,199,2026-06-30,89,Pro,2
140,124,2,2026-02-25,,active,199,2026-06-30,125,Pro,2
141,125,3,2025-09-09,,active,799,2026-06-30,294,Enterprise,3
142,126,2,2026-06-12,,active,199,2026-06-30,18,Pro,2
143,127,2,2024-09-25,2025-12-01,churned,199,2025-12-01,432,Pro,2
144,128,2,2026-06-05,,active,199,2026-06-30,25,Pro,2
145,129,1,2026-03-15,2026-03-01,churned,49,2026-03-01,0,Starter,1
146,130,1,2025-07-24,2025-07-01,churned,49,2025-07-01,0,Starter,1
147,131,1,2025-06-04,2026-04-01,churned,49,2026-04-01,301,Starter,1
148,132,3,2026-02-13,,active,799,2026-06-30,137,Enterprise,3
149,133,2,2025-03-21,,active,199,2026-06-30,466,Pro,2
150,134,2,2023-08-20,2024-12-01,churned,199,2024-12-01,469,Pro,2
151,135,2,2025-12-12,,active,199,2026-06-30,200,Pro,2
152,136,1,2024-11-11,2025-01-01,churned,49,2025-01-01,51,Starter,1
153,137,1,2024-10-12,2024-11-01,churned,49,2024-11-01,20,Starter,1
154,138,2,2025-08-06,,active,199,2026-06-30,328,Pro,2
155,139,2,2025-03-18,2025-11-01,churned,199,2025-11-01,228,Pro,2
156,140,2,2024-01-09,,active,199,2026-06-30,903,Pro,2
157,141,2,2024-06-15,2024-11-01,churned,199,2024-11-01,139,Pro,2
158,142,1,2025-11-11,2026-01-01,churned,49,2026-01-01,51,Starter,1
159,143,2,2024-08-12,,active,199,2026-06-30,687,Pro,2
160,144,3,2024-10-09,,active,799,2026-06-30,629,Enterprise,3
161,145,1,2026-06-24,2026-06-01,churned,49,2026-06-01,0,Starter,1
162,146,1,2026-06-21,2026-06-01,churned,49,2026-06-01,0,Starter,1
163,147,1,2026-01-08,,active,49,2026-06-30,173,Starter,1
164,148,2,2024-04-16,2026-01-01,churned,199,2026-01-01,625,Pro,2
165,149,3,2023-12-11,,active,799,2026-06-30,932,Enterprise,3
166,150,1,2023-12-04,,active,49,2026-06-30,939,Starter,1
167,151,2,2025-10-23,,active,199,2026-06-30,250,Pro,2
168,152,2,2026-05-19,,active,199,2026-06-30,42,Pro,2
169,153,1,2025-06-27,2026-04-01,churned,49,2026-04-01,278,Starter,1
170,154,1,2025-07-23,2026-04-01,churned,49,2026-04-01,252,Starter,1
171,155,3,2024-05-10,2024-05-01,churned,799,2024-05-01,0,Enterprise,3
172,156,3,2026-06-04,,active,799,2026-06-30,26,Enterprise,3
173,157,1,2025-11-11,,active,49,2026-06-30,231,Starter,1
174,158,3,2024-12-04,,active,799,2026-06-30,573,Enterprise,3
175,159,1,2025-10-22,,active,49,2026-06-30,251,Starter,1
176,160,3,2023-10-03,2026-04-01,downgraded,799,2026-04-01,911,Enterprise,3
177,160,2,2026-04-01,,active,199,2026-06-30,90,Pro,2
178,161,2,2025-07-20,,active,199,2026-06-30,345,Pro,2
179,162,2,2025-12-15,,active,199,2026-06-30,197,Pro,2
180,163,1,2024-08-20,2025-08-01,churned,49,2025-08-01,346,Starter,1
181,164,1,2025-11-07,,active,49,2026-06-30,235,Starter,1
182,165,1,2026-06-06,2026-06-01,churned,49,2026-06-01,0,Starter,1
183,166,1,2025-09-20,2026-05-01,churned,49,2026-05-01,223,Starter,1
184,167,2,2025-07-23,2025-09-01,churned,199,2025-09-01,40,Pro,2
185,168,2,2025-10-26,2026-04-01,churned,199,2026-04-01,157,Pro,2
186,169,1,2024-10-14,,active,49,2026-06-30,624,Starter,1
187,170,1,2024-03-27,2026-01-01,churned,49,2026-01-01,645,Starter,1
188,171,3,2024-10-24,,active,799,2026-06-30,614,Enterprise,3
189,172,1,2025-09-23,,active,49,2026-06-30,280,Starter,1
190,173,1,2024-11-16,,active,49,2026-06-30,591,Starter,1
191,174,3,2025-01-11,2026-01-01,downgraded,799,2026-01-01,355,Enterprise,3
192,174,2,2026-01-01,2026-02-01,churned,199,2026-02-01,31,Pro,2
193,175,2,2024-08-27,2025-09-01,churned,199,2025-09-01,370,Pro,2
194,176,2,2024-03-22,2024-05-01,downgraded,199,2024-05-01,40,Pro,2
195,176,1,2024-05-01,2024-06-01,churned,49,2024-06-01,31,Starter,1
196,177,2,2025-02-16,,active,199,2026-06-30,499,Pro,2
197,178,1,2026-02-14,,active,49,2026-06-30,136,Starter,1
198,179,1,2025-01-14,2025-02-01,churned,49,2025-02-01,18,Starter,1
199,180,3,2023-10-14,,active,799,2026-06-30,990,Enterprise,3
200,181,3,2026-06-25,,active,799,2026-06-30,5,Enterprise,3
201,182,2,2025-11-04,,active,199,2026-06-30,238,Pro,2
202,183,3,2026-01-22,,active,799,2026-06-30,159,Enterprise,3
203,184,1,2025-07-12,2026-03-01,churned,49,2026-03-01,232,Starter,1
204,185,1,2024-10-07,2026-05-01,churned,49,2026-05-01,571,Starter,1
205,186,1,2025-08-16,2026-03-01,churned,49,2026-03-01,197,Starter,1
206,187,2,2025-01-23,2025-07-01,churned,199,2025-07-01,159,Pro,2
207,188,3,2025-03-08,,active,799,2026-06-30,479,Enterprise,3
208,189,2,2023-12-21,2025-07-01,churned,199,2025-07-01,558,Pro,2
209,190,2,2025-08-23,2026-05-01,downgraded,199,2026-05-01,251,Pro,2
210,190,1,2026-05-01,,active,49,2026-06-30,60,Starter,1
211,191,3,2024-02-15,,active,799,2026-06-30,866,Enterprise,3
212,192,3,2026-03-24,,active,799,2026-06-30,98,Enterprise,3
213,193,1,2024-04-28,2024-07-01,churned,49,2024-07-01,64,Starter,1
214,194,2,2025-08-01,,active,199,2026-06-30,333,Pro,2
215,195,3,2024-07-16,2024-08-01,churned,799,2024-08-01,16,Enterprise,3
216,196,2,2024-10-18,,active,199,2026-06-30,620,Pro,2
217,197,3,2023-09-07,,active,799,2026-06-30,1027,Enterprise,3
218,198,1,2026-04-25,,active,49,2026-06-30,66,Starter,1
219,199,1,2025-03-13,2026-04-01,churned,49,2026-04-01,384,Starter,1
220,200,3,2025-06-16,,active,799,2026-06-30,379,Enterprise,3
221,201,2,2026-03-28,,active,199,2026-06-30,94,Pro,2
222,202,1,2023-08-01,2024-09-01,churned,49,2024-09-01,397,Starter,1
223,203,2,2023-07-03,2023-10-01,churned,199,2023-10-01,90,Pro,2
224,204,1,2024-06-13,2024-09-01,upgraded,49,2024-09-01,80,Starter,1
225,204,2,2024-09-01,,active,199,2026-06-30,667,Pro,2
226,205,3,2023-10-18,2023-11-01,churned,799,2023-11-01,14,Enterprise,3
227,206,3,2026-01-16,,active,799,2026-06-30,165,Enterprise,3
228,207,2,2024-10-22,,active,199,2026-06-30,616,Pro,2
229,208,2,2023-12-04,,active,199,2026-06-30,939,Pro,2
230,209,1,2025-05-23,,active,49,2026-06-30,403,Starter,1
231,210,1,2024-12-10,2025-03-01,churned,49,2025-03-01,81,Starter,1
232,211,1,2026-05-19,,active,49,2026-06-30,42,Starter,1
233,212,1,2025-06-28,,active,49,2026-06-30,367,Starter,1
234,213,1,2026-03-05,,active,49,2026-06-30,117,Starter,1
235,214,2,2025-08-01,2026-01-01,churned,199,2026-01-01,153,Pro,2
236,215,1,2026-04-06,,active,49,2026-06-30,85,Starter,1
237,216,3,2025-10-21,,active,799,2026-06-30,252,Enterprise,3
238,217,3,2024-09-07,,active,799,2026-06-30,661,Enterprise,3
239,218,1,2026-02-19,,active,49,2026-06-30,131,Starter,1
240,219,2,2026-01-27,2026-01-01,churned,199,2026-01-01,0,Pro,2
241,220,2,2025-05-25,,active,199,2026-06-30,401,Pro,2
242,221,3,2026-06-27,,active,799,2026-06-30,3,Enterprise,3
243,222,2,2023-12-26,,active,199,2026-06-30,917,Pro,2
244,223,2,2026-06-25,,active,199,2026-06-30,5,Pro,2
245,224,3,2026-06-04,,active,799,2026-06-30,26,Enterprise,3
246,225,1,2024-08-02,,active,49,2026-06-30,697,Starter,1
247,226,1,2025-05-11,,active,49,2026-06-30,415,Starter,1
248,227,1,2026-01-12,,active,49,2026-06-30,169,Starter,1
249,228,3,2026-01-27,,active,799,2026-06-30,154,Enterprise,3
250,229,2,2025-05-11,,active,199,2026-06-30,415,Pro,2
251,230,2,2025-09-08,,active,199,2026-06-30,295,Pro,2
252,231,3,2025-04-26,,active,799,2026-06-30,430,Enterprise,3
253,232,1,2023-11-18,2024-01-01,churned,49,2024-01-01,44,Starter,1
254,233,2,2023-11-19,2024-03-01,upgraded,199,2024-03-01,103,Pro,2
255,233,3,2024-03-01,2024-12-01,churned,799,2024-12-01,275,Enterprise,3
256,234,1,2024-10-08,2024-11-01,churned,49,2024-11-01,24,Starter,1
257,235,2,2024-08-20,,active,199,2026-06-30,679,Pro,2
258,236,2,2024-09-10,2024-11-01,upgraded,199,2024-11-01,52,Pro,2
259,236,3,2024-11-01,2026-06-01,churned,799,2026-06-01,577,Enterprise,3
260,237,3,2025-06-10,,active,799,2026-06-30,385,Enterprise,3
261,238,1,2024-08-05,2025-07-01,churned,49,2025-07-01,330,Starter,1
262,239,3,2024-08-18,2025-10-01,churned,799,2025-10-01,409,Enterprise,3
263,240,1,2024-08-21,,active,49,2026-06-30,678,Starter,1
264,241,1,2024-06-02,2025-04-01,churned,49,2025-04-01,303,Starter,1
265,242,1,2025-12-28,,active,49,2026-06-30,184,Starter,1
266,243,1,2025-02-12,,active,49,2026-06-30,503,Starter,1
267,244,3,2024-05-27,,active,799,2026-06-30,764,Enterprise,3
268,245,1,2024-06-01,2024-11-01,churned,49,2024-11-01,153,Starter,1
269,246,2,2025-12-19,2026-01-01,churned,199,2026-01-01,13,Pro,2
270,247,3,2025-12-07,,active,799,2026-06-30,205,Enterprise,3
271,248,1,2024-09-20,2025-01-01,churned,49,2025-01-01,103,Starter,1
272,249,1,2026-05-18,,active,49,2026-06-30,43,Starter,1
273,250,1,2026-02-05,,active,49,2026-06-30,145,Starter,1
274,251,1,2026-04-01,,active,49,2026-06-30,90,Starter,1
275,252,2,2024-11-04,2025-05-01,churned,199,2025-05-01,178,Pro,2
276,253,1,2025-04-19,2026-01-01,churned,49,2026-01-01,257,Starter,1
277,254,3,2026-01-24,,active,799,2026-06-30,157,Enterprise,3
278,255,3,2024-03-21,,active,799,2026-06-30,831,Enterprise,3
279,256,1,2024-10-14,2025-05-01,churned,49,2025-05-01,199,Starter,1
280,257,3,2025-10-03,,active,799,2026-06-30,270,Enterprise,3
281,258,1,2025-01-21,2025-05-01,churned,49,2025-05-01,100,Starter,1
282,259,1,2025-09-17,2026-05-01,churned,49,2026-05-01,226,Starter,1
283,260,1,2024-03-23,2024-07-01,churned,49,2024-07-01,100,Starter,1
