customer_id,company_name,country,industry,employee_size_band,signup_date
1,"Rodriguez, Figueroa and Sanchez",United Kingdom,Management Consulting,1-10,2024-11-08
2,Doyle Ltd,Germany,Digital Agency,11-50,2024-02-03
3,"Mcclain, Miller and Henderson",United States,Design Studio,1-10,2024-10-17
4,Davis and Sons,United Kingdom,PR Agency,11-50,2025-10-18
5,"Guzman, Hoffman and Baldwin",United Kingdom,Dev Shop / Software Consulting,1-10,2026-02-01
6,"Gardner, Robinson and Lawrence",United States,Management Consulting,1-10,2025-10-05
7,Blake and Sons,Germany,Branding Agency,1-10,2025-07-04
8,"Henderson, Ramirez and Lewis",United States,Marketing Agency,1-10,2026-04-24
9,Garcia-James,United States,Marketing Agency,51+,2024-11-18
10,Abbott-Munoz,United Kingdom,Management Consulting,51+,2026-06-19
11,Blair PLC,United States,Dev Shop / Software Consulting,11-50,2026-01-10
12,Dudley Group,Portugal,Branding Agency,51+,2026-06-09
13,Arnold Ltd,Germany,Management Consulting,1-10,2025-06-07
14,"Mcclure, Ward and Lee",Germany,Marketing Agency,11-50,2024-10-20
15,Williams and Sons,United Kingdom,Branding Agency,1-10,2025-05-13
16,Galloway-Wyatt,Portugal,Design Studio,11-50,2026-02-22
17,James Group,Germany,Dev Shop / Software Consulting,1-10,2025-11-02
18,"Flowers, Martin and Kelly",United Kingdom,Digital Agency,1-10,2026-06-23
19,"Adams, Zuniga and Wong",Germany,PR Agency,1-10,2026-03-15
20,"Reid, Ferguson and Sanchez",United States,Digital Agency,11-50,2026-04-09
21,Gray-Mayo,United Kingdom,Management Consulting,11-50,2025-02-08
22,"Watts, Robinson and Nguyen",United States,Dev Shop / Software Consulting,1-10,2026-02-02
23,Perez Inc,United States,PR Agency,1-10,2025-11-14
24,Morales-Jones,United States,Branding Agency,11-50,2026-03-17
25,"Walter, Edwards and Rios",United Kingdom,PR Agency,51+,2025-12-24
26,Wilkerson-Day,Portugal,Dev Shop / Software Consulting,11-50,2023-09-21
27,Baker and Sons,United States,Marketing Agency,1-10,2026-02-24
28,"Hoffman, Baker and Richards",United States,Design Studio,11-50,2025-01-17
29,"Ross, Robinson and Bright",Portugal,PR Agency,1-10,2024-11-17
