subscription_id,customer_id,plan_id,start_date,end_date,status,mrr_amount
1,1,1,2024-11-08,2025-05-01,churned,49
2,2,2,2024-02-03,,active,199
3,3,1,2024-10-17,2025-05-01,churned,49
4,4,2,2025-10-18,,active,199
5,5,2,2026-02-01,,active,199
6,6,1,2025-10-05,,active,49
7,7,1,2025-07-04,2025-07-01,churned,49
8,8,1,2026-04-24,,active,49
9,9,2,2024-11-18,2025-03-01,churned,199
10,10,2,2026-06-19,,active,199
11,11,3,2026-01-10,,active,799
12,12,3,2026-06-09,,active,799
13,13,1,2025-06-07,,active,49
14,14,2,2024-10-20,2025-05-01,upgraded,199
15,14,3,2025-05-01,,active,799
16,15,1,2025-05-13,2025-12-01,churned,49
17,16,2,2026-02-22,,active,199
18,17,2,2025-11-02,,active,199
19,18,1,2026-06-23,,active,49
20,19,1,2026-03-15,2026-05-01,churned,49
21,20,2,2026-04-09,,active,199
22,21,3,2025-02-08,,active,799
23,22,2,2026-02-02,,active,199
24,23,1,2025-11-14,2025-11-01,churned,49
25,24,2,2026-03-17,2026-06-01,churned,199
26,25,2,2025-12-24,,active,199
27,26,2,2023-09-21,2026-04-01,upgraded,199
28,26,3,2026-04-01,,active,799
29,27,2,2026-02-24,,active,199
30,28,3,2025-01-17,2025-03-01,churned,799
31,29,1,2024-11-17,2026-06-01,churned,49
32,30,3,2025-04-25,,active,799
33,31,1,2024-11-01,2025-04-01,churned,49
34,32,2,2025-07-10,,active,199
35,33,2,2025-09-03,,active,199
36,34,2,2024-12-25,,active,199
37,35,3,2025-08-09,,active,799
38,36,3,2024-07-25,,active,799
39,37,1,2024-01-21,2025-02-01,churned,49
40,38,1,2024-07-08,2024-12-01,churned,49
41,39,1,2026-03-08,2026-05-01,churned,49
42,40,2,2026-01-02,,active,199
43,41,1,2026-01-16,2026-04-01,churned,49
44,42,3,2025-06-19,,active,799
45,43,1,2024-02-04,2024-02-01,churned,49
46,44,1,2026-01-28,,active,49
47,45,3,2024-05-02,2026-03-01,downgraded,799
48,45,2,2026-03-01,2026-06-01,downgraded,199
49,45,1,2026-06-01,,active,49
50,46,2,2023-12-07,2024-06-01,churned,199
51,47,1,2023-08-15,2023-12-01,churned,49
52,48,1,2025-04-28,2025-05-01,churned,49
53,49,3,2023-12-01,,active,799
54,50,2,2024-03-14,,active,199
55,51,1,2026-04-06,,active,49
56,52,1,2026-03-26,,active,49
57,53,3,2025-08-18,,active,799
58,54,1,2026-01-02,,active,49
59,55,2,2024-09-02,2026-01-01,downgraded,199
60,55,1,2026-01-01,2026-02-01,churned,49
61,56,3,2026-01-02,,active,799
62,57,1,2026-04-03,,active,49
63,58,1,2025-05-08,2026-01-01,churned,49
64,59,1,2023-10-19,2024-05-01,upgraded,49
65,59,2,2024-05-01,2025-11-01,churned,199
66,60,1,2023-09-23,2024-02-01,upgraded,49
67,60,2,2024-02-01,2026-03-01,upgraded,199
68,60,3,2026-03-01,,active,799
69,61,1,2025-08-10,,active,49
70,62,3,2025-10-15,,active,799
71,63,1,2026-01-07,2026-05-01,churned,49
72,64,1,2025-03-08,,active,49
73,65,2,2025-08-10,,active,199
74,66,3,2024-01-22,,active,799
75,67,1,2025-04-09,2025-07-01,churned,49
76,68,2,2025-05-10,2025-09-01,downgraded,199
77,68,1,2025-09-01,2026-02-01,churned,49
78,69,1,2026-03-28,,active,49
79,70,2,2025-07-02,,active,199
80,71,2,2026-04-11,,active,199
81,72,1,2025-10-15,,active,49
82,73,2,2026-04-23,,active,199
83,74,1,2024-05-18,2025-06-01,upgraded,49
84,74,2,2025-06-01,2025-07-01,churned,199
85,75,1,2024-09-28,2025-01-01,churned,49
86,76,2,2025-07-04,,active,199
87,77,2,2025-01-24,2025-03-01,churned,199
88,78,2,2026-05-26,,active,199
89,79,2,2024-12-26,,active,199
90,80,2,2024-07-08,2024-11-01,churned,199
91,81,2,2024-11-02,2025-10-01,churned,199
92,82,2,2025-03-12,,active,199
93,83,1,2026-06-22,2026-06-01,churned,49
94,84,3,2024-02-09,,active,799
95,85,2,2023-11-18,2023-12-01,churned,199
96,86,3,2024-09-06,,active,799
97,87,1,2025-12-14,,active,49
98,88,1,2025-03-04,,active,49
99,89,1,2025-07-14,,active,49
100,90,2,2025-07-24,,active,199
101,91,1,2025-01-11,2025-03-01,churned,49
102,92,1,2024-10-17,2025-11-01,churned,49
103,93,1,2026-03-18,,active,49
104,94,3,2023-10-24,,active,799
105,95,1,2025-01-27,2025-05-01,churned,49
106,96,1,2025-07-20,2026-04-01,upgraded,49
107,96,2,2026-04-01,,active,199
108,97,1,2026-01-17,2026-06-01,churned,49
109,98,1,2024-12-22,2025-06-01,churned,49
110,99,3,2024-09-03,,active,799
111,100,2,2025-12-26,,active,199
112,101,2,2025-03-20,,active,199
113,102,1,2025-06-19,2025-10-01,churned,49
114,103,1,2023-08-05,2026-05-01,churned,49
115,104,2,2026-02-04,,active,199
116,105,2,2026-05-17,,active,199
117,106,2,2026-05-15,,active,199
118,107,2,2025-12-20,,active,199
119,108,2,2025-09-24,2025-11-01,upgraded,199
120,108,3,2025-11-01,,active,799
121,109,3,2025-05-06,2025-07-01,downgraded,799
122,109,2,2025-07-01,2026-02-01,churned,199
123,110,1,2024-09-27,2025-03-01,upgraded,49
124,110,2,2025-03-01,2025-04-01,upgraded,199
125,110,3,2025-04-01,,active,799
126,111,2,2024-06-08,2026-03-01,downgraded,199
127,111,1,2026-03-01,,active,49
128,112,1,2025-09-11,2026-03-01,churned,49
129,113,1,2026-03-13,,active,49
130,114,1,2025-02-11,2025-04-01,churned,49
131,115,2,2026-01-13,,active,199
132,116,2,2023-11-25,2025-02-01,churned,199
133,117,3,2026-06-25,,active,799
134,118,2,2024-12-24,,active,199
135,119,2,2026-05-08,2026-06-01,churned,199
136,120,2,2025-12-22,,active,199
137,121,2,2023-09-20,2025-03-01,churned,199
138,122,1,2024-05-01,,active,49
139,123,2,2026-04-02,,active,199
140,124,2,2026-02-25,,active,199
141,125,3,2025-09-09,,active,799
142,126,2,2026-06-12,,active,199
143,127,2,2024-09-25,2025-12-01,churned,199
144,128,2,2026-06-05,,active,199
145,129,1,2026-03-15,2026-03-01,churned,49
146,130,1,2025-07-24,2025-07-01,churned,49
147,131,1,2025-06-04,2026-04-01,churned,49
148,132,3,2026-02-13,,active,799
149,133,2,2025-03-21,,active,199
150,134,2,2023-08-20,2024-12-01,churned,199
151,135,2,2025-12-12,,active,199
152,136,1,2024-11-11,2025-01-01,churned,49
153,137,1,2024-10-12,2024-11-01,churned,49
154,138,2,2025-08-06,,active,199
155,139,2,2025-03-18,2025-11-01,churned,199
156,140,2,2024-01-09,,active,199
157,141,2,2024-06-15,2024-11-01,churned,199
158,142,1,2025-11-11,2026-01-01,churned,49
159,143,2,2024-08-12,,active,199
160,144,3,2024-10-09,,active,799
161,145,1,2026-06-24,2026-06-01,churned,49
162,146,1,2026-06-21,2026-06-01,churned,49
163,147,1,2026-01-08,,active,49
164,148,2,2024-04-16,2026-01-01,churned,199
165,149,3,2023-12-11,,active,799
166,150,1,2023-12-04,,active,49
167,151,2,2025-10-23,,active,199
168,152,2,2026-05-19,,active,199
169,153,1,2025-06-27,2026-04-01,churned,49
170,154,1,2025-07-23,2026-04-01,churned,49
